;Beats.Per.Minute;Length.;Popularity
1;117;191;79
2;105;302;92
3;190;186;85
4;93;198;86
5;150;175;94
6;102;220;84
7;180;131;92
8;111;202;90
9;136;157;87
10;135;194;95
11;176;251;93
12;96;185;86
13;110;182;88
14;176;288;87
15;101;205;92
16;93;261;82
17;176;243;90
18;90;158;91
19;130;161;88
20;158;173;91
21;124;153;91
22;154;115;91
23;92;309;83
24;92;266;91
25;135;195;89
26;124;191;70
27;98;210;83
28;96;213;89
29;94;193;91
30;93;222;89
31;85;210;84
32;140;179;89
33;96;176;89
34;98;200;89
35;100;224;89
36;114;164;89
37;176;226;91
38;152;162;87
39;138;181;80
40;95;199;78
41;104;228;88
42;85;171;90
43;96;216;87
44;136;198;84
45;98;162;88
46;88;182;88
47;176;202;88
48;100;214;88
49;104;218;88
50;95;206;82
